Job:GiantMarsh-06022025,Version:24.00,Units:USSurveyFeet
XSD-3,2188289.067,6025857.767,2.789,
XSD-4,2188288.712,6025859.857,3.458,
XSD-5,2188288.524,6025861.169,3.843,
XSD-6,2188288.407,6025862.317,4.295,
XSD-7,2188288.395,6025862.979,4.550,
XSD-8,2188288.337,6025863.241,4.846,
XSD-9,2188288.413,6025863.055,6.234,
XSD-10,2188287.794,6025863.455,6.972,
XSD-11,2188287.658,6025865.192,7.023,
XSD-12,2188287.126,6025868.295,7.042,
XSD-13pin,2188286.742,6025870.822,6.974,
XSD-13,2188285.330,6025876.468,6.740,
XSD-14,2188284.726,6025883.763,6.788,
XSD-15,2188284.884,6025888.387,6.747,
XSD-16,2188284.200,6025894.700,6.588,
XSD-17,2188283.961,6025900.392,6.567,
XSD-18,2188283.310,6025906.866,6.572,
XSD-19,2188283.118,6025915.133,6.574,
XSD-20,2188282.172,6025922.004,6.500,
XSD-21,2188282.257,6025930.339,6.474,
XSD-22,2188281.053,6025939.066,6.525,
XSD-23,2188278.868,6025946.573,6.521,
XSD-24,2188278.029,6025955.861,6.652,
XSD-25,2188277.818,6025964.104,6.556,
XSD-26,2188278.954,6025972.656,6.563,
XSD-27,2188279.012,6025973.161,6.581,
XSD-28,2188279.012,6025973.642,6.649,
XSD-29,2188278.414,6025977.822,6.633,
XSD-30,2188277.741,6025983.768,6.557,
XSD-31,2188277.071,6025989.495,6.524,
XSD-32,2188276.508,6025992.158,6.545,
XSD-33,2188276.424,6025995.561,6.484,
XSD-34,2188276.193,6025999.559,6.669,
XSD-35,2188275.806,6026002.701,6.430,
XSD-36,2188275.588,6026004.191,6.527,
XSD-37,2188274.773,6026009.066,6.466,
XSD-38,2188274.112,6026013.836,6.547,
XSD-39,2188273.347,6026019.845,6.549,
XSD-40,2188272.654,6026025.543,6.515,
XSD-41,2188272.875,6026027.763,6.607,
XSD-42,2188272.938,6026033.266,6.578,
XSD-43,2188272.617,6026035.541,6.542,
XSD-44,2188272.070,6026040.264,6.539,
XSD-45,2188271.439,6026043.726,6.669,
XSD-46,2188270.946,6026045.291,6.681,
XSD-47,2188270.707,6026048.429,6.795,
BM-post1,2188683.454,6026846.114,26.938,
BM-post2,2188683.454,6026846.116,26.932,
BM-post3,2188683.443,6026846.135,26.940,
BM-post4,2188683.432,6026846.128,26.926,
PRS57887031857,2193701.475,6050864.199,105.642,RTCM0000
gm-3-ep-1,2188365.003,6025880.334,3.755,
gm-3-ep-2,2188365.309,6025882.561,6.430,
gm-3-ep-3,2188365.251,6025884.566,6.857,
gm-3-ep-4,2188363.897,6025888.840,6.907,
gm-3-ep-5,2188363.268,6025892.397,6.877,
gm-3-ep-6,2188363.075,6025900.749,6.729,
gm-3-ep-7,2188362.760,6025904.764,6.727,
gm-3-ep-8,2188362.804,6025908.775,6.753,
gm-3-ep-9,2188363.039,6025912.473,6.683,
gm-3-ep-10,2188363.270,6025918.554,6.636,
gm-3-ep-11,2188363.326,6025922.623,6.568,
gm-3-ep-12,2188362.992,6025928.137,6.498,
gm-3-ep-13,2188362.762,6025933.179,6.562,
gm-3-ep-14,2188362.545,6025938.041,6.532,
gm-3-ep-15,2188362.088,6025945.253,6.552,
gm-3-ep-16,2188362.130,6025949.305,6.536,
gm-3-ep-17,2188361.971,6025952.806,6.499,
gm-3-ep-18,2188361.640,6025957.777,6.502,
gm-3-ep-19,2188361.731,6025963.015,6.517,
gm-3-ep-20,2188361.619,6025966.954,6.525,
gm-3-ep-21,2188361.455,6025971.284,6.515,
gm-3-ep-22,2188362.106,6025974.982,6.556,
gm-3-ep-23,2188361.934,6025979.777,6.471,
gm-3-ep-24,2188362.656,6025985.327,6.572,
gm-3-ep-25,2188363.544,6025990.307,6.560,
gm-3-ep-26,2188363.193,6025995.447,6.520,
gm-3-ep-27,2188364.246,6026000.598,6.497,
gm-3-ep-28,2188364.342,6026005.578,6.554,
gm-3-ep-29,2188364.811,6026011.062,6.537,
gm-3-ep-30,2188365.319,6026016.720,6.576,
gm-3-ep-31,2188364.916,6026022.333,6.568,
gm-3-ep-32,2188364.317,6026027.086,6.762,
gm-3-ep-33,2188363.457,6026030.104,6.820,
gm-3-ep-34,2188364.468,6026036.031,7.248,
gm-3-ep-35,2188363.502,6026042.124,7.151,
gm-3-ep-36,2188363.336,6026045.237,6.986,
gm-3-ep-37,2188362.173,6026050.394,7.075,
gm-3-ep-38,2188360.935,6026054.873,7.205,
gm-3-ep-39,2188360.589,6026067.217,6.701,
gm-3-ep-40,2188360.255,6026069.604,6.655,
gm-3-ep-41,2188360.340,6026073.751,6.816,
gm-3-ep-42,2188359.470,6026076.141,6.358,
gm-3-ep-43,2188359.354,6026079.087,5.761,
gm-4-ep-1,2188270.312,6026054.425,5.549,
gm-4-ep-2,2188271.067,6026052.434,5.836,
gm-4-ep-3,2188271.261,6026050.515,6.389,
gm-4-ep-4,2188271.649,6026047.897,6.867,
gm-4-ep-5,2188273.134,6026042.133,6.720,
gm-4-ep-6,2188273.041,6026038.678,6.675,
gm-4-ep-7,2188273.337,6026034.333,6.611,
gm-4-ep-8,2188273.555,6026030.754,6.597,
gm-4-ep-9,2188273.732,6026027.133,6.625,
gm-4-ep-10,2188273.452,6026022.567,6.634,
