Official_ID,Point_ID,Northing,Easting,Elevation_ussft
,s2-ep-7,1804085.722,6425227.427,5.386
,s2-ep-8,1804091.076,6425226.829,5.645
,s2-ep-9,1804097.639,6425226.549,5.826
,s2-ep-10,1804104.998,6425225.753,5.909
,s2-ep-11,1804112.565,6425224.865,6.026
,s2-ep-12,1804116.227,6425224.891,6.027
,s2-ep-13,1804124.131,6425224.248,6.1
,s2-ep-14,1804131.576,6425223.328,6.209
,s2-ep-15,1804143.275,6425222.736,6.306
,s2-ep-16,1804150.158,6425221.16,6.385
,s2-ep-17,1804160.474,6425220.501,6.497
,s2-ep-18,1804169.83,6425219.341,6.498
,s2-ep-19,1804176.495,6425218.694,6.572
,s2-ep-20,1804190.406,6425217.699,6.6
,s2-ep-21,1804197.844,6425216.374,6.63
,s2-ep-22,1804205.434,6425215.083,6.572
,s2-ep-23,1804211.32,6425214.474,6.633
,s2-ep-24,1804219.722,6425214.076,6.54
,s2-ep-25,1804227.959,6425213.691,6.645
,s2-ep-26,1804233.574,6425213.122,6.629
,s2-ep-27,1804242.879,6425211.79,6.624
,s2-ep-28,1804250.302,6425210.345,6.595
,s2-ep-29,1804259.767,6425209.014,6.623
,s2-ep-30,1804264.914,6425207.368,6.686
,s2-ep-31,1804274.623,6425207.671,6.712
,s2-ep-32,1804282.131,6425206.036,6.705
,s2-ep-33,1804289.47,6425205.1,6.724
,s2-ep-34,1804295.876,6425204.661,6.711
,s2-ep-35,1804303.341,6425203.934,6.7
,s2-ep-36,1804310.661,6425203.886,6.668
,s2-ep-37,1804317.925,6425201.601,6.631
,s2-ep-38,1804325.9,6425201.011,6.528
,s2-ep-39,1804334.326,6425199.292,6.6
,s2-ep-40,1804344.89,6425198.725,6.58
,s2-ep-41,1804352.305,6425197.579,6.645
,s2-ep-42,1804361.775,6425197.238,6.543
,s2-ep-43,1804370.781,6425195.232,6.542
,s2-ep-44,1804377.716,6425193.875,6.583
,s2-ep-45,1804384.834,6425192.96,6.545
,s2-ep-46,1804390.769,6425191.639,6.58
,s2-ep-47,1804398.793,6425189.762,6.605
,s2-ep-48,1804405.892,6425188.233,6.579
,s2-ep-49,1804415.542,6425186.855,6.587
,s2-ep-50,1804422.052,6425188.384,6.523
,s1-ep-31-fixed,1804293.945,6425348.764,6.603
,s1-ep-32-fixed,1804305.551,6425347.854,6.614
,s1-ep-33-fixed,1804315.145,6425348.823,6.602
,s1-ep-34-fixed,1804327.92,6425350.717,6.555
,s1-ep-35-fixed,1804342.736,6425352.423,6.53
,s1-ep-36-fixed,1804352.774,6425353.604,6.55
,s1-ep-37-fixed,1804363.459,6425355.557,6.507
,s1-ep-38-fixed,1804371.837,6425355.762,6.511
,s1-ep-39-fixed,1804380.285,6425355.285,6.528
,s1-ep-40-fixed,1804391.577,6425355.973,6.512
,s1-ep-41-fixed,1804403.381,6425357.857,6.602
,s1-ep-42-fixed,1804412.675,6425358.568,6.563
,s1-ep-43-fixed,1804430.672,6425361.002,6.505
,s1-ep-44-fixed,1804440.941,6425361.315,6.475
,s1-ep-45-fixed,1804451.946,6425363.039,6.474
BM3,benchmark-end-1,1813355.844,6428340.323,21.449
BM4,benchmark-end-2,1813355.857,6428340.307,21.48
BM5,benchmark-end-3,1813355.835,6428340.294,21.47
