Official_ID,Point_ID,Northing,Easting,Elevation_ussft
,bl-1-real-ep-1,2198547.692,5984803.038,4.951
,bl-1-real-ep-2,2198546.054,5984802.873,5.02
,bl-1-real-ep-3,2198544.299,5984802.678,5.203
,bl-1-real-ep-4,2198542.999,5984802.796,5.329
,bl-1-real-ep-5,2198541.335,5984802.542,5.415
,bl-1-real-ep-6,2198539.203,5984802.515,5.612
,bl-1-real-ep-7,2198536.658,5984802.517,5.782
,bl-1-real-ep-8,2198533.819,5984802.362,5.78
,bl-1-real-ep-9,2198531.943,5984802.448,5.788
,bl-1-ep-10,2198529.796,5984802.378,5.83
,bl-1-ep-11,2198527.134,5984802.325,5.884
,bl-1-ep-12,2198524.572,5984802.085,5.885
,bl-1-ep-13,2198521.997,5984801.636,5.919
,bl-1-ep-14,2198519.192,5984801.909,5.954
,bl-1-ep-15,2198516.536,5984801.65,5.934
,bl-1-ep-16,2198512.66,5984801.307,5.977
,bl-1-ep-17,2198509.584,5984801.236,6.005
,bl-1-ep-18,2198505.994,5984801.117,6.066
,bl-1-ep-19,2198503.453,5984800.701,6.063
,bl-1-ep-20,2198500.303,5984800.46,6.051
,bl-1-ep-21,2198497.752,5984800.733,6.061
,bl-1-ep-22,2198495.388,5984800.656,6.068
,bl-1-ep-23,2198491.971,5984800.38,6.062
,bl-1-ep-24,2198488.176,5984800.383,6.083
,bl-1-ep-25,2198485.267,5984800.019,6.084
,bl-1-ep-26,2198481.231,5984799.443,6.106
,bl-1-ep-27,2198477.862,5984799.626,6.135
,bl-1-ep-28,2198474.379,5984799.506,6.111
,bl-1-ep-29,2198471.07,5984799.406,6.083
,bl-1-ep-30,2198467.953,5984799.216,6.077
,bl-1-ep-31,2198464.734,5984798.834,6.097
,bl-1-ep-32,2198462.171,5984798.672,6.098
,bl-1-ep-33,2198459.078,5984798.67,6.124
,bl-1-ep-34,2198455.689,5984798.277,6.133
,bl-1-ep-35,2198451.672,5984797.538,6.157
,bl-1-ep-36,2198447.761,5984797.149,6.158
,bl-1-ep-37,2198443.656,5984796.729,6.154
,bl-1-ep-38,2198440.182,5984796.049,6.171
,bl-1-ep-39,2198435.917,5984795.728,6.155
,bl-1-ep-40,2198431.201,5984795.173,6.167
,bl-1-ep-41,2198428.981,5984795.389,6.18
,bl-1-ep-42,2198424.938,5984795.223,6.15
,bl-1-ep-43,2198422.362,5984795.259,6.137
,bl-1-ep-44,2198417.275,5984795.346,6.145
,bl-1-ep-45,2198413.19,5984794.504,6.125
,bl-1-ep-46,2198408.911,5984793.876,6.131
,bl-1-ep-47,2198404.282,5984793.83,6.114
,bl-1-ep-48,2198401.142,5984793.474,6.132
,bl-1-ep-49,2198396.675,5984793.2,6.154
,bl-1-ep-50,2198392.489,5984793.796,6.109
,bl-1-ep-51,2198389.524,5984794.036,6.088
,bl-1-ep-52,2198384.945,5984794.304,6.114
,bl-1-ep-53,2198381.165,5984794.001,6.113
,bl-1-ep-54,2198378.419,5984793.548,6.108
,bl-1-ep-55,2198374.453,5984793.064,6.116
,bl-1-ep-56,2198371.926,5984793.405,6.116
,bl-1-ep-57,2198369.258,5984793.171,6.081
,bl-1-ep-58,2198365.868,5984793.608,6.091
,bl-1-ep-59,2198362.028,5984793.169,6.075
,bl-1-ep-60,2198358.26,5984792.548,6.045
,bl-1-ep-61,2198355.423,5984792.299,6.068
,bl-1-ep-62,2198352.225,5984792.163,6.035
,bl-1-ep-63,2198349.177,5984792.226,6.039
,bl-1-ep-64,2198345.617,5984792.382,6.013
,bl-2-tile-48-a,2198388.632,5984820.865,6.075
,bl-2-tile-48-b,2198388.51,5984821.365,6.067
,bl-2-tile-48-c,2198388.321,5984822.07,6.063
,bl-2-green-48-a,2198388.506,5984822.698,6.059
,bl-2-green-48-b,2198388.382,5984823.23,6.062
,bl-2-green-48-c,2198388.29,5984824.027,6.101
,bl-2-tile-24-a,2198466.704,5984830.189,6.06
,bl-2-tile-24-b,2198466.551,5984830.82,6.068
,bl-2-tile-24-c,2198466.558,5984831.351,6.098
,bl-2-green-24-a,2198466.417,5984831.915,6.069
,bl-2-green-24-b,2198466.277,5984832.629,6.062
,bl-2-green-24-c,2198466.097,5984833.212,6.104
,bl-2-tile-18-a,2198486.284,5984832.465,6.052
,bl-2-tile-18-b,2198486.166,5984832.941,6.089
,bl-2-tile-18-c,2198486.033,5984833.438,6.073
,bl-2-green-18-a,2198485.871,5984834.106,6.087
,bl-2-green-18-b,2198485.593,5984834.72,6.097
,bl-2-green-18-c,2198485.356,5984835.308,6.067
,bl-2-tile-12-a,2198505.676,5984835.091,6.034
,bl-2-tile-12-b,2198505.62,5984835.653,6.046
,bl-2-tile-12-c,2198505.48,5984836.147,6.047
,bl-2-green-12-a,2198505.32,5984836.697,6.055
,bl-2-green-12-b,2198505.202,5984837.426,6.05
,bl-2-green-12-c,2198505.044,5984837.985,6.06
,bl-2-tile-6-a,2198525.303,5984837.632,6.036
,bl-2-tile-6-b,2198525.252,5984838.084,6.025
,bl-2-tile-6-c,2198525.032,5984838.474,6.055
,bl-2-green-6-a,2198524.96,5984839.284,6.06
,bl-2-green-6-b,2198524.799,5984839.86,6.029
,bl-2-green-6-c,2198524.836,5984840.477,6.038
