Official_ID,Point_ID,Northing,Easting,Elevation_ussft
,edge-8,2167183.894,5983846.103,4.805
,edge-9,2167182.215,5983847.928,5.059
,edge-10,2167180.832,5983848.277,5.153
,edge-11,2167180.403,5983849.548,4.911
,edge-12,2167180.676,5983851.325,4.277
,edge-13,2167179.311,5983852.618,4.668
,edge-14,2167176.81,5983853.797,5.045
,edge-15,2167175.396,5983855.33,4.914
,edge-16,2167173.555,5983854.911,5.126
,edge-17,2167172.461,5983855.728,5.154
,edge-18,2167172.867,5983856.829,5.119
,edge-19,2167171.417,5983858.738,5.026
,edge-20,2167172.491,5983860.277,4.377
,edge-21,2167171.019,5983861.142,4.396
,edge-22,2167171.783,5983862.926,3.895
,edge-23,2167168.889,5983862.766,4.44
,edge-24,2167167.392,5983862.894,4.624
,edge-25,2167164.937,5983861.773,4.772
,edge-26,2167163.256,5983861.405,4.636
,edge-27,2167162.344,5983858.695,5.24
,edge-28,2167160.085,5983859.02,5.153
,edge-29,2167158.18,5983857.595,5
,edge-30,2167158.989,5983855.45,5.477
,edge-31,2167156.93,5983853.022,5.315
,edge-32,2167155.313,5983851.335,5.689
,edge-33,2167154.441,5983853.269,5.54
,edge-34,2167152.409,5983854.621,5.488
,edge-35,2167150.633,5983857.292,5.118
,edge-36,2167147.887,5983857.582,4.836
,edge-37,2167143.3,5983856.348,5.291
,edge-38,2167139.103,5983855.884,5.008
,edge-39,2167136.689,5983854.346,5.467
,edge-40,2167134.763,5983850.949,5.69
,edge-41,2167132.935,5983850.63,5.73
,edge-42,2167132.389,5983852.336,5.773
,edge-43,2167133.297,5983853.815,5.603
,edge-44,2167133.521,5983855.512,5.144
,edge-45,2167130.91,5983856.31,5.085
,edge-46,2167129.493,5983857.416,4.937
,edge-47,2167127.768,5983859.242,4.917
,edge-48,2167125.202,5983860.977,4.94
,edge-49,2167121.892,5983862.314,5.141
,edge-50,2167118.492,5983862.189,5.542
,edge-51,2167116.938,5983862.958,5.566
,edge-52,2167116.31,5983865.558,5.355
,edge-53,2167114,5983864.659,5.372
,edge-54,2167112.538,5983864.682,5.151
,edge-55,2167111.863,5983863.261,5.583
,edge-56,2167110.312,5983863.255,5.706
,edge-57,2167109.445,5983865.267,5.564
,edge-58,2167108.284,5983867.103,5.395
,edge-59,2167105.874,5983869.151,5.476
,edge-60,2167102.669,5983871.666,5.295
,edge-61,2167099.787,5983872.935,5.339
,edge-62,2167098.7,5983874.826,4.973
,edge-63,2167094.72,5983876.334,5.083
,edge-64,2167092.828,5983875.929,4.957
,edge-65,2167092.255,5983874.253,5.048
