"month","monthly_total_in","complete"
2025-07-01,0.08,"Complete"
2025-08-01,0.03,"Complete"
2025-09-01,0.11,"Complete"
2025-10-01,1.01,"Complete"
2025-11-01,2.52,"Complete"
2025-12-01,5.4,"Complete"
2026-01-01,2.78,"Complete"
2026-02-01,4.37,"Complete"
2026-03-01,0.15,"Complete"
2026-04-01,3.65,"Complete"
2026-05-01,0.74,"Complete"
2026-06-01,0.03,"Partial month"
