"month","monthly_total_in"
2022-07-01,0.09
2022-08-01,0
2022-09-01,0.34
2022-10-01,0
2022-11-01,1.36
2022-12-01,11.6
2023-01-01,8.89
2023-02-01,3.46
2023-03-01,6.99
2023-04-01,0.24
2023-05-01,1.21
2023-06-01,0.01
