Job:SaearsPoint-06032025,Version:24.00,Units:USSurveyFeet
XSC-4,1804286.917,6425173.964,6.683,
XSC-5,1804270.311,6425177.963,6.755,
XSC-6,1804256.866,6425181.788,6.680,
XSC-7,1804239.914,6425187.776,6.739,
XSC-8,1804224.737,6425190.368,6.695,
XSC-9,1804209.793,6425194.792,6.645,
XSC-10,1804199.072,6425197.513,6.775,
XSC-11,1804190.884,6425199.285,6.758,
XSC-12,1804187.889,6425200.538,6.670,
XSC-13,1804183.984,6425201.081,6.760,
XSC-14,1804175.881,6425203.346,6.871,
XSC-15,1804168.381,6425203.960,6.736,
XSC-16,1804163.835,6425203.900,6.672,
XSC-17,1804160.565,6425204.788,6.633,
XSC-18,1804162.820,6425204.811,6.667,
XSC-19,1804153.809,6425206.032,6.707,
XSC-20,1804145.979,6425209.000,6.533,
XSC-21,1804141.024,6425211.229,6.514,
XSC-22,1804139.686,6425211.647,6.441,
XSC-23,1804137.812,6425212.515,6.374,
XSC-24,1804130.363,6425213.629,6.260,
XSC-25,1804121.340,6425215.454,6.215,
XSC-26,1804110.513,6425217.620,6.058,
XSC-27,1804103.290,6425220.103,5.930,
XSC-28,1804102.775,6425220.888,5.847,
XSC-29,1804102.206,6425221.105,5.405,
XSC-30,1804101.081,6425221.572,5.374,
XSC-31,1804099.853,6425222.272,5.884,
XSC-32,1804097.319,6425224.450,5.854,
XSC-33pin,1804094.003,6425227.189,5.751,
XSC-34,1804088.006,6425227.208,5.691,
XSC-35,1804085.907,6425227.612,5.560,
XSC-36,1804085.111,6425227.187,5.223,
XSC-37,1804083.834,6425226.924,5.501,
XSC-38,1804077.877,6425227.997,5.221,
XSC-39,1804072.204,6425229.549,4.989,
XSC-40,1804065.332,6425231.101,4.656,
XSC-41,1804062.655,6425231.744,4.469,
XSC-42,1804059.331,6425231.917,4.213,
XSC-43,1804053.755,6425233.058,3.905,
XSC-44,1804048.946,6425233.552,3.612,
XSC-45,1804048.228,6425233.755,3.465,
XSC-46,1804044.353,6425234.789,3.269,
XSC-47,1804042.296,6425235.162,2.906,
XSC-48,1804041.196,6425235.338,2.775,
XSC-49,1804039.489,6425235.940,2.830,
XSC-50,1804037.646,6425235.893,2.632,
XSC-51,1804037.196,6425236.318,2.465,
XSC-52,1804035.542,6425236.571,2.363,
XSC-53,1804033.564,6425237.132,2.376,
XSD-1,1803997.663,6425111.293,2.389,
XSD-2,1804000.422,6425111.128,2.351,
XSD-3,1804002.409,6425111.208,2.423,
XSD-4,1804004.604,6425110.401,2.573,
XSD-5,1804008.222,6425109.616,2.622,
XSD-6,1804011.343,6425109.390,2.899,
XSD-7,1804013.743,6425108.784,2.977,
XSD-8,1804019.291,6425107.866,3.363,
XSD-9,1804022.980,6425106.707,3.509,
XSD-10,1804027.330,6425105.935,3.720,
XSD-11,1804031.382,6425104.957,3.878,
XSD-12,1804037.475,6425105.128,4.670,
XSD-13,1804043.029,6425105.299,4.832,
XSD-14,1804047.246,6425104.541,4.890,
XSD-15,1804053.963,6425104.197,5.338,
XSD-16,1804060.042,6425103.915,5.407,
XSD-17,1804065.306,6425103.167,5.523,
XSD-18pin,1804070.402,6425098.547,5.697,
XSD-18pio,1804074.347,6425099.207,5.754,
XSD-18pip,1804080.223,6425097.568,5.917,
XSD-18piq,1804087.323,6425096.487,6.070,
XSD-18pir,1804093.540,6425096.512,6.072,
XSD-18pis,1804103.090,6425097.150,6.322,
XSD-18pit,1804111.933,6425096.016,6.421,
XSD-18piu,1804119.520,6425096.437,6.322,
XSD-18piv,1804127.411,6425096.834,6.454,
XSD-18piw,1804142.822,6425097.157,6.471,
XSD-18pix,1804150.335,6425096.965,6.689,
XSD-18piy,1804154.704,6425096.691,6.708,
XSD-18piz,1804158.972,6425094.056,6.978,
XSD-18pja,1804161.165,6425092.140,6.769,
XSD-18pjb,1804164.977,6425092.015,6.936,
XSD-18pjc,1804168.960,6425090.530,6.900,
XSD-18pjd,1804170.329,6425089.985,6.851,
XSD-18pje,1804171.880,6425089.821,6.790,
XSD-18pjf,1804177.250,6425089.474,6.819,
XSD-18pjg,1804183.154,6425088.875,6.665,
XSD-18pjh,1804189.416,6425087.825,6.738,
XSD-18pji,1804195.336,6425087.338,6.801,
XSD-18pjj,1804201.675,6425087.522,6.847,
XSD-18pjk,1804204.739,6425085.597,6.728,
XSD-18pjl,1804211.239,6425085.451,6.717,
XSD-18pjm,1804215.225,6425085.953,6.673,
XSD-18pjn,1804222.703,6425087.080,6.735,
XSD-18pjo,1804227.291,6425087.701,6.635,
XSD-18pjp,1804235.078,6425087.641,6.613,
XSD-18pjq,1804243.517,6425088.104,6.597,
XSD-18pjr,1804254.081,6425087.113,6.588,
XSD-18pjs,1804262.644,6425088.841,6.773,
XSD-18pjt,1804269.360,6425089.156,6.751,
XSD-18pju,1804278.915,6425089.941,6.706,
XSD-18pjv,1804286.022,6425090.329,6.748,
XSD-18pjw,1804293.258,6425089.907,6.666,
XSD-18pjx,1804299.911,6425089.497,6.645,
XSD-18pjy,1804306.623,6425087.592,6.760,
XSD-18pjz,1804314.147,6425085.487,6.735,
XSD-18pka,1804319.399,6425085.821,6.653,
XSD-18pkb,1804325.881,6425084.806,6.689,
XSD-18pkc,1804330.567,6425083.542,6.823,
XSD-18pkd,1804341.641,6425081.140,6.849,
XSD-18pke,1804353.706,6425079.203,6.665,
XSD-18pkf,1804364.159,6425078.547,6.626,
XSD-18pkg,1804375.414,6425078.829,6.750,
XSD-18pkh,1804386.362,6425079.399,6.739,
XSD-18pki,1804395.812,6425078.667,6.642,
XSD-18pkj,1804407.818,6425079.665,6.693,
XSD-18pkk,1804418.224,6425078.755,6.737,
XSD-18pkl,1804429.824,6425079.570,6.624,
XSD-18pkm,1804437.642,6425081.965,6.729,
XSD-18pkn,1804451.040,6425083.934,6.593,
XSD-18pko,1804464.153,6425085.968,6.750,
XSD-18pkp,1804479.755,6425084.981,6.756,
XSD-18pkq,1804491.630,6425088.031,6.946,
bm-post1,1813355.339,6428340.668,21.658,
bm-post2,1813355.343,6428340.685,21.621,
bm-post3,1813355.350,6428340.680,21.617,
