Job:SonomaBaylands-Day1-06032025,Version:24.00,Units:USSurveyFeet,
XSC-9,1804022.98,6425106.707,3.509
XSC-10,1804027.33,6425105.935,3.72
XSC-11,1804031.382,6425104.957,3.878
XSC-12,1804037.475,6425105.128,4.67
XSC-13,1804043.029,6425105.299,4.832
XSC-14,1804047.246,6425104.541,4.89
XSC-15,1804053.963,6425104.197,5.338
XSC-16,1804060.042,6425103.915,5.407
XSC-17,1804065.306,6425103.167,5.523
XSC-18pin,1804070.402,6425098.547,5.697
XSC-19,1804074.347,6425099.207,5.754
XSC-20,1804080.223,6425097.568,5.917
XSC-21,1804087.323,6425096.487,6.07
XSC-22,1804093.54,6425096.512,6.072
XSC-23,1804103.09,6425097.15,6.322
XSC-24,1804111.933,6425096.016,6.421
XSC-25,1804119.52,6425096.437,6.322
XSC-26,1804127.411,6425096.834,6.454
XSC-27,1804142.822,6425097.157,6.471
XSC-28,1804150.335,6425096.965,6.689
XSC-29,1804154.704,6425096.691,6.708
XSC-30,1804158.972,6425094.056,6.978
XSC-31,1804161.165,6425092.14,6.769
XSC-32,1804164.977,6425092.015,6.936
XSC-33,1804168.96,6425090.53,6.9
XSC-34,1804170.329,6425089.985,6.851
XSC-35,1804171.88,6425089.821,6.79
XSC-36,1804177.25,6425089.474,6.819
XSC-37,1804183.154,6425088.875,6.665
XSC-38,1804189.416,6425087.825,6.738
XSC-39,1804195.336,6425087.338,6.801
XSC-40,1804201.675,6425087.522,6.847
XSC-41,1804204.739,6425085.597,6.728
XSC-42,1804211.239,6425085.451,6.717
XSC-43,1804215.225,6425085.953,6.673
XSC-44,1804222.703,6425087.08,6.735
XSC-45,1804227.291,6425087.701,6.635
XSC-46,1804235.078,6425087.641,6.613
XSC-47,1804243.517,6425088.104,6.597
XSC-48,1804254.081,6425087.113,6.588
XSC-49,1804262.644,6425088.841,6.773
XSC-50,1804269.36,6425089.156,6.751
XSC-51,1804278.915,6425089.941,6.706
XSC-52,1804286.022,6425090.329,6.748
XSC-53,1804293.258,6425089.907,6.666
XSC-54,1804299.911,6425089.497,6.645
XSC-55,1804306.623,6425087.592,6.76
XSC-56,1804314.147,6425085.487,6.735
XSC-57,1804319.399,6425085.821,6.653
XSC-58,1804325.881,6425084.806,6.689
XSC-59,1804330.567,6425083.542,6.823
XSC-60,1804341.641,6425081.14,6.849
XSC-61,1804353.706,6425079.203,6.665
XSC-62,1804364.159,6425078.547,6.626
XSC-63,1804375.414,6425078.829,6.75
XSC-64,1804386.362,6425079.399,6.739
XSC-65,1804395.812,6425078.667,6.642
XSC-66,1804407.818,6425079.665,6.693
XSC-67,1804418.224,6425078.755,6.737
XSC-68,1804429.824,6425079.57,6.624
XSC-69,1804437.642,6425081.965,6.729
XSC-70,1804451.04,6425083.934,6.593
XSC-71,1804464.153,6425085.968,6.75
XSC-72,1804479.755,6425084.981,6.756
XSC-73,1804491.63,6425088.031,6.946
bm-post1,1813355.339,6428340.668,21.658
bm-post2,1813355.343,6428340.685,21.621
bm-post3,1813355.35,6428340.68,21.617
