Location,Route_ID,Transect_ID,Point_ID,Distance_AlongTransect_sft,Distance_AlongTransect_m,Distance_OffTransect,Northing,Easting,Elevation_sft,Elevation_m,Date
SanPablo,xsA,xsA,XSA-45,113.721478050,34.66230650964,6.64181012976,1804169.844,6425346.826,6.782,2.06715773400,6/3/2025
SanPablo,xsA,xsA,XSA-46,115.252284419,35.12889629091,7.21609995432,1804171.372,6425346.244,6.774,2.06471932900,6/3/2025
SanPablo,xsA,xsA,XSA-47,117.212303882,35.72631022323,7.22095701819,1804173.332,6425346.229,6.833,2.08270256500,6/3/2025
SanPablo,xsA,xsA,XSA-48,120.059386134,36.59410089364,7.98774289309,1804176.175,6425345.448,6.954,2.11958343900,6/3/2025
SanPablo,xsA,xsA,XSA-49,123.596570769,37.67223477039,9.04074193088,1804179.707,6425344.377,6.768,2.06289052600,6/3/2025
SanPablo,xsA,xsA,XSA-50,128.424401792,39.14375766620,9.56457400307,1804184.532,6425343.829,6.688,2.03850647700,6/3/2025
SanPablo,xsA,xsA,XSA-51,131.798447364,40.17216675655,9.56326816411,1804187.906,6425343.813,6.814,2.07691135400,6/3/2025
SanPablo,xsA,xsA,XSA-52,135.412123130,41.27361513002,9.52203678193,1804191.520,6425343.836,6.866,2.09276098600,6/3/2025
SanPablo,xsA,xsA,XSA-53,139.738375545,42.59225686612,9.15042851269,1804195.848,6425344.186,6.733,2.05222250400,6/3/2025
SanPablo,xsA,xsA,XSA-54,145.592273695,44.37652502224,8.72779124404,1804201.704,6425344.579,6.828,2.08117856200,6/3/2025
SanPablo,xsA,xsA,XSA-55,155.794443137,47.48614626816,6.96721665239,1804211.915,6425346.288,6.817,2.07782575600,6/3/2025
SanPablo,xsA,xsA,XSA-56,162.743375277,49.60418078443,5.35202388671,1804218.872,6425347.868,6.719,2.04795529600,6/3/2025
SanPablo,xsA,xsA,XSA-57,176.020967392,53.65119086108,7.01787085858,1804232.141,6425346.135,6.821,2.07904495800,6/3/2025
SanPablo,xsA,xsA,XSA-58,187.023549849,57.00477799398,5.49308257262,1804243.151,6425347.604,6.851,2.08818897600,6/3/2025
SanPablo,xsA,xsA,XSA-59,198.013627220,60.35455357666,2.72753048847,1804254.155,6425350.314,6.866,2.09276098600,6/3/2025
SanPablo,xsA,xsA,XSA-60,205.222390329,62.55178457228,2.08314775733,1804261.367,6425350.922,6.757,2.05953771900,6/3/2025
SanPablo,xsA,xsA,XSA-61,219.296219578,66.84148772737,1.40603419263,1804275.444,6425351.528,6.797,2.07172974300,6/3/2025
SanPablo,xsA,xsA,XSA-62,230.405404838,70.22756739462,0.78491631206,1804286.556,6425352.093,6.790,2.06959613900,6/3/2025
SanPablo,xsA,xsA,XSA-63,243.519211141,74.22465555578,-1.65245571771,1804299.682,6425354.464,6.748,2.05679451400,6/3/2025
SanPablo,xsA,xsA,XSA-64,260.087375009,79.27463190274,-5.20834946039,1804316.268,6425357.936,6.708,2.04460248900,6/3/2025
SanPablo,xsA,xsA,XSA-65,268.873177270,81.95254443190,-1.90856099599,1804325.037,6425354.592,6.648,2.02631445300,6/3/2025
SanPablo,xsA,xsA,XSA-66,279.940427049,85.32584216454,-0.70037897128,1804336.098,6425353.328,6.651,2.02722885400,6/3/2025
SanPablo,xsA,xsA,XSA-67,289.638804607,88.28190764421,1.33362846217,1804345.786,6425351.245,6.714,2.04643129300,6/3/2025
SanPablo,xsA,xsA,XSA-68,302.835618708,92.30429658220,0.25969670703,1804358.988,6425352.252,6.622,2.01838963700,6/3/2025
SanPablo,xsA,xsA,XSA-69,322.326779080,98.24520226358,0.48139243441,1804378.478,6425351.932,6.696,2.04094488200,6/3/2025
SanPablo,xsA,xsA,XSA-70,333.625716868,101.68911850137,-1.34968707689,1804389.786,6425353.706,6.516,1.98608077200,6/3/2025
SanPablo,xsA,xsA,XSA-71,347.380229446,105.88149393514,-1.91429308399,1804403.543,6425354.201,6.531,1.99065278100,6/3/2025
SanPablo,xsA,xsA,XSA-72,362.021387119,110.34411879387,-0.50140387477,1804418.177,6425352.714,6.605,2.01320802600,6/3/2025
SanPablo,xsB,xsB,XSB-1,0.508308036,0.15493228927,0.08930881154,1804033.564,6425237.132,2.376,0.72420624800,6/3/2025
SanPablo,xsB,xsB,XSB-2,2.562496954,0.78104907161,0.17645260466,1804035.542,6425236.571,2.363,0.72024384000,6/3/2025
SanPablo,xsB,xsB,XSB-3,4.230266337,1.28938517943,0.03899578119,1804037.196,6425236.318,2.465,0.75133350300,6/3/2025
SanPablo,xsB,xsB,XSB-4,4.766316085,1.45277314260,0.34800290212,1804037.646,6425235.893,2.632,0.80223520400,6/3/2025
SanPablo,xsB,xsB,XSB-5,6.548389489,1.99594911624,-0.12496462138,1804039.489,6425235.940,2.830,0.86258572500,6/3/2025
SanPablo,xsB,xsB,XSB-6,8.348473581,2.54461474745,0.06490138920,1804041.196,6425235.338,2.775,0.84582169200,6/3/2025
SanPablo,xsB,xsB,XSB-7,9.459333711,2.88320491509,-0.01908146253,1804042.296,6425235.162,2.906,0.88575057100,6/3/2025
SanPablo,xsB,xsB,XSB-8,11.546532279,3.51938303858,-0.13306263453,1804044.353,6425234.789,3.269,0.99639319300,6/3/2025
SanPablo,xsB,xsB,XSB-9,15.555696314,4.74137623654,-0.02551773373,1804048.228,6425233.755,3.465,1.05613411200,6/3/2025
SanPablo,xsB,xsB,XSB-10,16.301386255,4.96866253052,0.00552737094,1804048.946,6425233.552,3.612,1.10093980200,6/3/2025
SanPablo,xsB,xsB,XSB-11,21.093874972,6.42941309134,-0.62911327178,1804053.755,6425233.058,3.905,1.19024638000,6/3/2025
SanPablo,xsB,xsB,XSB-12,26.782278154,8.16323838125,-0.81184541783,1804059.331,6425231.917,4.213,1.28412496800,6/3/2025
SanPablo,xsB,xsB,XSB-13,30.055930443,9.16104759903,-1.41434128601,1804062.655,6425231.744,4.469,1.36215392400,6/3/2025
SanPablo,xsB,xsB,XSB-14,32.809231190,10.00025366665,-1.40950478545,1804065.332,6425231.101,4.656,1.41915163800,6/3/2025
SanPablo,xsB,xsB,XSB-15,39.853561619,12.14736558144,-1.49280399803,1804072.204,6425229.549,4.989,1.52065024100,6/3/2025
SanPablo,xsB,xsB,XSB-16,45.731983212,13.93910848290,-1.29855901362,1804077.877,6425227.997,5.221,1.59136398300,6/3/2025
SanPablo,xsB,xsB,XSB-17,51.775486309,15.78116822707,-1.63574080654,1804083.834,6425226.924,5.501,1.67670815300,6/3/2025
SanPablo,xsB,xsB,XSB-18,52.956590844,16.14116888919,-2.18773700604,1804085.111,6425227.187,5.223,1.59197358400,6/3/2025
SanPablo,xsB,xsB,XSB-19,53.632330604,16.34713436807,-2.78556075699,1804085.907,6425227.612,5.560,1.69469138900,6/3/2025
SanPablo,xsB,xsB,XSB-20,55.767848784,16.99804030930,-2.87935470753,1804088.006,6425227.208,5.691,1.73462026900,6/3/2025
SanPablo,xsB,xsB,XSB-21,61.605892487,18.77747602995,-4.25122595016,1804094.003,6425227.189,5.751,1.75290830600,6/3/2025
SanPablo,xsB,xsB,XSB-22,65.466542016,19.95420200632,-2.35547603118,1804097.319,6425224.450,5.854,1.78430276900,6/3/2025
SanPablo,xsB,xsB,XSB-23,68.436525344,20.85945292485,-0.82451993359,1804099.853,6425222.272,5.884,1.79344678700,6/3/2025
SanPablo,xsB,xsB,XSB-24,69.793402546,21.27302909599,-0.42817582389,1804101.081,6425221.572,5.374,1.63799847600,6/3/2025
SanPablo,xsB,xsB,XSB-25,70.995986753,21.63957676244,-0.23485886488,1804102.206,6425221.105,5.405,1.64744729500,6/3/2025
