Location,Route_ID,Transect_ID,Point_ID,Distance_AlongTransect_sft,Distance_AlongTransect_m,Distance_OffTransect,Northing,Easting,Elevation_sft,Elevation_m,Date
Giant,xsB,xsB,XSB-11,15.05521883,4.5888307,0.50438414,2188545.629,6025910.041,6.866,2.092760986,6/2/2025
Giant,xsB,xsB,XSB-12-pin,17.03073901,5.190969251,3.423892045,2188548.486,6025912.106,6.703,2.043078486,6/2/2025
Giant,xsB,xsB,XSB-13,21.77455894,6.636885564,1.534746438,2188546.451,6025916.789,6.745,2.055880112,6/2/2025
Giant,xsB,xsB,XSB-14,27.51310692,8.385994991,2.215680549,2188546.954,6025922.546,6.627,2.01991364,6/2/2025
Giant,xsB,xsB,XSB-15,33.97650075,10.35603743,3.275206571,2188547.813,6025929.039,6.461,1.969316739,6/2/2025
Giant,xsB,xsB,XSB-16,40.92538613,12.47405769,4.153810138,2188548.476,6025936.012,6.366,1.940360681,6/2/2025
Giant,xsB,xsB,XSB-17,48.89186793,14.90224134,4.140590911,2188548.216,6025943.974,6.273,1.912014224,6/2/2025
Giant,xsB,xsB,XSB-18,54.97863117,16.75748678,4.272003538,2188548.159,6025950.062,6.383,1.945542291,6/2/2025
Giant,xsB,xsB,XSB-19,63.04228055,19.21528711,3.887599552,2188547.525,6025958.11,6.375,1.943103886,6/2/2025
Giant,xsB,xsB,XSB-20,72.38457169,22.06281745,3.604508426,2188546.953,6025967.439,6.327,1.928473457,6/2/2025
Giant,xsB,xsB,XSB-21,80.20671655,24.44700721,3.111526138,2188546.218,6025975.242,6.396,1.949504699,6/2/2025
Giant,xsB,xsB,XSB-22,88.43176634,26.95400238,2.136692665,2188544.989,6025983.433,6.373,1.942494285,6/2/2025
Giant,xsB,xsB,XSB-23,98.94840835,30.15947486,0.987641345,2188543.515,6025993.909,6.364,1.939751079,6/2/2025
Giant,xsB,xsB,XSB-24,108.8456664,33.17615911,0.325881079,2188542.547,6026003.781,6.343,1.933350267,6/2/2025
Giant,xsB,xsB,XSB-25,117.5082624,35.81651839,-0.373464138,2188541.58,6026012.418,6.272,1.911709423,6/2/2025
Giant,xsB,xsB,XSB-26,126.1101168,38.43836361,-0.680145428,2188541.007,6026021.006,6.389,1.947371095,6/2/2025
Giant,xsB,xsB,XSB-27,134.8362916,41.09810168,-0.592041501,2188540.825,6026029.731,6.193,1.887630175,6/2/2025
Giant,xsC,xsC,XSC-1,0.809815355,0.24683172,-0.082646463,2188369.511,6025869.868,2.747,0.837287275,6/2/2025
Giant,xsC,xsC,XSC-2,4.546863754,1.385884072,-1.203679856,2188368.218,6025873.549,2.862,0.872339345,6/2/2025
Giant,xsC,xsC,XSC-3,7.859796611,2.395666007,-2.117106985,2188367.152,6025876.816,3.088,0.941224282,6/2/2025
Giant,xsC,xsC,XSC-4,9.305888024,2.83643467,-2.541702642,2188366.661,6025878.241,3.132,0.954635509,6/2/2025
Giant,xsC,xsC,XSC-5,10.18568642,3.10459722,-2.731129197,2188366.431,6025879.111,3.249,0.990297181,6/2/2025
Giant,xsC,xsC,XSC-6,10.65102127,3.246431284,-2.984775282,2188366.156,6025879.564,3.471,1.057962916,6/2/2025
Giant,xsC,xsC,XSC-7,11.33975251,3.456356564,-3.183063995,2188365.926,6025880.243,3.736,1.138735077,6/2/2025
Giant,xsC,xsC,XSC-8,12.02341455,3.664736754,-3.328709599,2188365.749,6025880.919,4.019,1.22499365,6/2/2025
Giant,xsC,xsC,XSC-9,12.54081665,3.822440915,-3.373682847,2188365.68,6025881.434,4.116,1.254559309,6/2/2025
Giant,xsC,xsC,XSC-10,13.47955674,4.108568894,-3.474325311,2188365.536,6025882.367,4.532,1.381356363,6/2/2025
Giant,xsC,xsC,XSC-11,13.44333426,4.097528281,-3.451044252,2188365.561,6025882.332,4.503,1.372517145,6/2/2025
Giant,xsC,xsC,XSC-12,13.9362228,4.24776071,-3.456099997,2188365.533,6025882.824,5.745,1.751079502,6/2/2025
Giant,xsC,xsC,XSC-13,14.63004633,4.45923812,-3.587151551,2188365.37,6025883.511,6.779,2.066243332,6/2/2025
Giant,xsC,xsC,XSC-14,15.25583678,4.64997905,-3.738437305,2188365.19,6025884.129,6.886,2.098856998,6/2/2025
Giant,xsC,xsC,XSC-15,17.42485047,5.311094423,-4.298318259,2188364.53,6025886.27,6.921,2.109525019,6/2/2025
Giant,xsC,xsC,XSC-16pin,21.12178063,6.437918737,-5.050079706,2188363.608,6025889.928,6.838,2.084226568,6/2/2025
Giant,xsC,xsC,XSC-17,26.37452511,8.038955252,-5.44098354,2188362.974,6025895.157,6.868,2.093370587,6/2/2025
Giant,xsC,xsC,XSC-18,32.32276816,9.851979734,-5.503379207,2188362.636,6025901.096,6.751,2.057708915,6/2/2025
Giant,xsC,xsC,XSC-19,41.02122243,12.5032686,-4.791523032,2188362.944,6025909.818,6.656,2.028752857,6/2/2025
Giant,xsC,xsC,XSC-20,50.34666983,15.34566496,-4.065693522,2188363.237,6025919.167,6.592,2.009245618,6/2/2025
Giant,xsC,xsC,XSC-21,58.75760019,17.90931654,-4.172170143,2188362.741,6025927.564,6.529,1.99004318,6/2/2025
Giant,xsC,xsC,XSC-22,67.63994019,20.61665377,-3.997645643,2188362.504,6025936.445,6.562,2.0001016,6/2/2025
Giant,xsC,xsC,XSC-23,78.14312464,23.81802439,-4.623553081,2188361.392,6025946.908,6.556,1.998272797,6/2/2025
Giant,xsC,xsC,XSC-24,86.06605639,26.23293399,-5.517263347,2188360.132,6025954.781,6.402,1.951333503,6/2/2025
Giant,xsC,xsC,XSC-25,89.83170706,27.38070431,-4.642049547,2188360.832,6025958.583,6.446,1.964744729,6/2/2025
Giant,xsC,xsC,XSC-26,90.90654544,27.70831505,-4.334702144,2188361.089,6025959.671,6.462,1.969621539,6/2/2025
Giant,xsC,xsC,XSC-27,94.83257088,28.9049676,-3.511168274,2188361.73,6025963.631,6.51,1.984251968,6/2/2025
Giant,xsC,xsC,XSC-28,100.4184716,30.60755015,-2.538061118,2188362.443,6025969.256,6.489,1.977851156,6/2/2025
Giant,xsC,xsC,XSC-29,109.1533635,33.26994521,-1.422180721,2188363.153,6025978.033,6.476,1.973888748,6/2/2025
Giant,xsC,xsC,XSC-30,116.7553751,35.58703834,0.304923271,2188364.526,6025985.707,6.461,1.969316739,6/2/2025
Giant,xsC,xsC,XSC-31,124.1404916,37.83802185,0.795586956,2188364.674,6025993.107,6.566,2.001320803,6/2/2025
Giant,xsC,xsC,XSC-32,132.3669411,40.34544364,0.63030296,2188364.128,6026001.317,6.494,1.979375159,6/2/2025
Giant,xsC,xsC,XSC-33,139.2435406,42.44143119,1.448807014,2188364.627,6026008.224,6.472,1.972669545,6/2/2025
Giant,xsC,xsC,XSC-34,145.5150536,44.35298833,1.087092075,2188363.975,6026014.472,6.541,1.993700787,6/2/2025
Giant,xsC,xsC,XSC-35,152.4138703,46.45574766,1.079624636,2188363.648,6026021.363,6.533,1.991262383,6/2/2025
Giant,xsC,xsC,XSC-36,156.6501307,47.74695983,0.525307511,2188362.898,6026025.569,6.688,2.038506477,6/2/2025
Giant,xsC,xsC,XSC-37,161.7144851,49.29057506,0.613064804,2188362.751,6026030.632,6.921,2.109525019,6/2/2025
Giant,xsC,xsC,XSC-38,168.2232824,51.27445649,0.849927763,2188362.686,6026037.145,7.043,2.146710693,6/2/2025
Giant,xsC,xsC,XSC-39,173.7087748,52.94643455,1.162490946,2188362.744,6026042.639,7.126,2.172009144,6/2/2025
Giant,xsC,xsC,XSC-40,179.2306648,54.62950662,1.037294905,2188362.363,6026048.149,6.791,2.06990094,6/2/2025
Giant,xsC,xsC,XSC-41,187.0749684,57.02045038,0.174751894,2188361.138,6026055.945,7.171,2.185725171,6/2/2025
Giant,xsC,xsC,XSC-42,190.4112448,58.03734742,0.372521338,2188361.181,6026059.287,6.724,2.049479299,6/2/2025
Giant,xsC,xsC,XSC-43,194.7363513,59.35563988,0.062411868,2188360.671,6026063.593,6.664,2.031191262,6/2/2025
Giant,xsC,xsC,XSC-44,203.443708,62.0096422,-0.345285983,2188359.86,6026072.272,6.693,2.04003048,6/2/2025
Giant,xsC,xsC,XSC-45,205.6532246,62.68310286,-0.241818109,2188359.861,6026074.484,6.646,2.025704851,6/2/2025
Giant,xsD,xsD,XSD-1,0.083483956,0.02544591,-0.344660453,2188290.63,6025851.548,2.747,0.837287275,6/2/2025
Giant,xsD,xsD,XSD-2,3.850309506,1.173574337,-1.044216561,2188289.55,6025855.224,2.804,0.854660909,6/2/2025
Giant,xsD,xsD,XSD-3,6.429275939,1.959643306,-1.265304515,2188289.067,6025857.767,2.789,0.8500889,6/2/2025
Giant,xsD,xsD,XSD-4,8.544472796,2.604355308,-1.405312553,2188288.712,6025859.857,3.458,1.054000508,6/2/2025
Giant,xsD,xsD,XSD-5,9.868809411,3.008013108,-1.458525684,2188288.524,6025861.169,3.843,1.171348743,6/2/2025
Giant,xsD,xsD,XSD-6,11.02305902,3.35982839,-1.457937828,2188288.407,6025862.317,4.295,1.309118618,6/2/2025
Giant,xsD,xsD,XSD-7,11.68255763,3.560843566,-1.402202489,2188288.395,6025862.979,4.55,1.386842774,6/2/2025
Giant,xsD,xsD,XSD-8,11.94925163,3.642131896,-1.43323755,2188288.337,6025863.241,4.846,1.477063754,6/2/2025
Giant,xsD,xsD,XSD-9,11.75643594,3.583361676,-1.376489737,2188288.413,6025863.055,6.234,1.900127,6/2/2025
Giant,xsD,xsD,XSD-10,12.21741974,3.723869536,-1.951570002,2188287.794,6025863.455,6.972,2.12506985,6/2/2025
Giant,xsD,xsD,XSD-11,13.95944925,4.25484013,-1.90985469,2188287.658,6025865.192,7.023,2.140614681,6/2/2025
