"month","monthly_total_in"
2025-07-01,0.08
2025-08-01,0.03
2025-09-01,0.11
2025-10-01,1.01
2025-11-01,2.52
2025-12-01,5.4
2026-01-01,2.78
2026-02-01,4.37
2026-03-01,0.15
2026-04-01,3.65
2026-05-01,0.74
2026-06-01,0.09
