Site,Transect_ID,Point_ID,Northing,Easting,Distance_AlongTransect_m,Distance_AlongTransect_ft,Elevation_ft,Elevation_m,Date,...11,...12,...13,FID,MSL,MHHW,z_star
SanPablo,S2,S2-18c,2234550.088,5993729.234,17.56984471177156,57.64373219187053,6.435,1.9613919227838454,3/6/2026,NA,NA,NA,152,3.395,6.25,1.064798599
SanPablo,S2,S2-24a,2234569.826,5993728.593,23.576986690955362,77.35216383524272,6.562,2.0001016002032004,3/6/2026,NA,NA,NA,152,3.395,6.25,1.109281961
SanPablo,S2,S2-24b,2234569.868,5993728.207,23.60029328269982,77.42862887832433,6.555,1.9979679959359917,3/6/2026,NA,NA,NA,152,3.395,6.25,1.106830123
SanPablo,S2,S2-24c,2234569.895,5993727.828,23.619412306321895,77.49135520832442,6.534,1.9915671831343662,3/6/2026,NA,NA,NA,152,3.395,6.25,1.099474606
SanPablo,S2,S2-48a,2234647.93,5993721.445,47.48253328303888,155.78227794610342,6.607,2.0138176276352553,3/6/2026,NA,NA,NA,152,3.395,6.25,1.125043783
SanPablo,S2,S2-48b,2234647.904,5993721.132,47.48324845388506,155.78462430245457,6.637,2.0229616459232918,3/6/2026,NA,NA,NA,152,3.395,6.25,1.135551664
SanPablo,S2,S2-48c,2234648.035,5993720.695,47.53533731123392,155.95551916193995,6.629,2.0205232410464817,3/6/2026,NA,NA,NA,152,3.395,6.25,1.132749562
CorteMadera,C1,C1-48a,2167132.639,5983689.6,46.30276642223178,151.91165950360542,5.684,1.732486665,3/6/2026,NA,Version:24.00,Units:USSurveyFeet,512,3.32,6.07,0.859636364
CorteMadera,C1,C1-48b,2167132.173,5983689.705,46.32273832210246,151.97718397843116,5.613,1.7108458216916433,3/6/2026,NA,NA,NA,512,3.32,6.07,0.833818182
CorteMadera,C1,C1-48c,2167131.764,5983689.874,46.31874655801015,151.9640876657383,5.599,1.7065786131572263,3/6/2026,NA,NA,NA,512,3.32,6.07,0.828727273
CorteMadera,C1,C1-24a,2167159.439,5983759.837,23.39004689109885,76.73884550854682,5.643,1.7199898399796798,3/6/2026,NA,NA,NA,512,3.32,6.07,0.844727273
CorteMadera,C1,C1-24b,2167158.914,5983760.08,23.376171195834385,76.69332166499998,5.638,1.7184658369316737,3/6/2026,NA,NA,NA,512,3.32,6.07,0.842909091
CorteMadera,C1,C1-24c,2167158.47,5983760.156,23.40234878,76.77920596061823,5.624,1.7141986283972566,3/6/2026,NA,NA,NA,512,3.32,6.07,0.837818182
CorteMadera,C1,C1-18a,2167166.319,5983778.41,17.353123871164257,56.93270723397807,5.511,1.679756159512319,3/6/2026,NA,NA,NA,512,3.32,6.07,0.796727273
CorteMadera,C1,C1-18b,2167165.936,5983778.728,17.30264199674981,56.76708461767001,5.478,1.6696977393954786,3/6/2026,NA,NA,NA,512,3.32,6.07,0.784727273
CorteMadera,C1,C1-18c,2167165.502,5983779.418,17.153134112600497,56.276574167756806,5.484,1.671526543053086,3/6/2026,NA,NA,NA,512,3.32,6.07,0.786909091
CorteMadera,C1,C1-12a,2167172.977,5983797.024,11.327720595429964,37.164363320173145,5.385,1.6413512827025651,3/6/2026,NA,NA,NA,512,3.32,6.07,0.750909091
CorteMadera,C1,C1-12b,2167172.601,5983797.241,11.306017661710014,37.09315961,5.396,1.6447040894081788,3/6/2026,NA,NA,NA,512,3.32,6.07,0.754909091
CorteMadera,C1,C1-12c,2167172.013,5983797.441,11.314522679839325,37.121063158772856,5.443,1.659029718059436,3/6/2026,NA,NA,NA,512,3.32,6.07,0.772
CorteMadera,C1,C1-6a,2167179.617,5983815.127,5.450466165104332,17.882071076679797,5.461,1.664516129032258,3/6/2026,NA,NA,NA,512,3.32,6.07,0.778545455
CorteMadera,C1,C1-6b,2167179.19,5983814.717,5.613382875222721,18.41657364979321,5.453,1.6620777241554483,3/6/2026,NA,NA,NA,512,3.32,6.07,0.775636364
