Code,Genus species,Common name
SPFO,Spartina foliosa,California Cordgrass
SAPA,Salicornia pacifica,Pickleweed
JACA,Jaumea carnosa,Marsh jaumea
DISP,Distichlis spicata,Saltgrass
BOMA,Bolboschoenus maritimus,Saltmarsh bullrush
LICA,Limonium californicum,California sea lavendar
GRST,Grindelia stricta,Coastal Gumweed
