Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-20,ep,C3,elevation profile,,,20.0,1736602.659,6416346.137,5.68,1.731267463,16.84,37.9296567,-122.5037619,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-21,ep,C3,elevation profile,,,21.0,1736598.084,6416333.914,5.749,1.752298705,20.82,37.9296439,-122.5038042,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-22,ep,C3,elevation profile,,,22.0,1736595.386,6416325.076,5.792,1.765405131,23.63,37.9296364,-122.5038348,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-23,ep,C3,elevation profile,,,23.0,1736592.801,6416317.535,5.754,1.753822708,26.06,37.9296292,-122.5038608,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-24,ep,C3,elevation profile,,,24.0,1736590.314,6416308.196,5.641,1.719380239,29.01,37.9296222,-122.5038932,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-25,ep,C3,elevation profile,,,25.0,1736588.343,6416298.137,5.744,1.750774702,32.13,37.9296167,-122.503928,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-26,ep,C3,elevation profile,,,26.0,1736587.02,6416288.291,5.769,1.758394717,35.16,37.9296129,-122.5039621,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-27,ep,C3,elevation profile,,,27.0,1736584.664,6416275.075,5.888,1.794665989,39.25,37.9296062,-122.5040079,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-28,ep,C3,elevation profile,,,28.0,1736583.014,6416264.732,5.91,1.801371603,42.45,37.9296015,-122.5040437,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-29,ep,C3,elevation profile,,,29.0,1736580.494,6416256.14,5.931,1.807772416,45.17,37.9295945,-122.5040734,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-30,ep,C3,elevation profile,,,30.0,1736578.586,6416249.866,5.631,1.716332233,47.17,37.9295891,-122.5040951,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-31,ep,C3,elevation profile,,,31.0,1736577.089,6416246.752,5.81,1.770891542,48.23,37.929585,-122.5041059,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-32,ep,C3,elevation profile,,,32.0,1736576.737,6416245.593,5.605,1.708407417,48.6,37.929584,-122.5041099,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-33,ep,C3,elevation profile,,,33.0,1736576.469,6416244.825,5.524,1.683718567,48.84,37.9295832,-122.5041126,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-34,ep,C3,elevation profile,,,34.0,1736576.495,6416243.801,5.509,1.679146558,49.16,37.9295833,-122.5041161,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-35,ep,C3,elevation profile,,,35.0,1736576.611,6416242.616,5.765,1.757175514,49.52,37.9295836,-122.5041202,CA zone II (EPSG:2226)
