Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-21,ep,GM3,elevation profile,,,21.0,2188644.836,6025920.565,6.349,1.93517907,7.57,37.991039,-122.3591845,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-22,ep,GM3,elevation profile,,,22.0,2188645.867,6025927.33,6.328,1.928778258,9.66,37.9910422,-122.3591611,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-23,ep,GM3,elevation profile,,,23.0,2188646.559,6025935.804,6.228,1.898298197,12.25,37.9910446,-122.3591318,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-24,ep,GM3,elevation profile,,,24.0,2188646.053,6025944.633,6.274,1.912319025,14.94,37.9910437,-122.3591011,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-25,ep,GM3,elevation profile,,,25.0,2188646.718,6025955.534,6.389,1.947371095,18.27,37.9910461,-122.3590633,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-26,ep,GM3,elevation profile,,,26.0,2188647.294,6025963.761,6.322,1.926949454,20.79,37.9910481,-122.3590348,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-27,ep,GM3,elevation profile,,,27.0,2188648.012,6025972.018,6.338,1.931826264,23.31,37.9910506,-122.3590062,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-28,ep,GM3,elevation profile,,,28.0,2188648.207,6025978.415,6.111,1.862636525,25.26,37.9910514,-122.358984,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-29,ep,GM3,elevation profile,,,29.0,2188649.735,6025987.151,6.191,1.887020574,27.97,37.9910561,-122.3589538,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-30,ep,GM3,elevation profile,,,30.0,2188650.446,6025994.027,6.148,1.873914148,30.07,37.9910584,-122.35893,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-31,ep,GM3,elevation profile,,,31.0,2188650.751,6025999.442,6.031,1.838252476,31.73,37.9910596,-122.3589113,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-32,ep,GM3,elevation profile,,,32.0,2188651.222,6026006.485,6.082,1.853797308,33.88,37.9910613,-122.3588869,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-33,ep,GM3,elevation profile,,,33.0,2188651.751,6026015.172,5.984,1.823926848,36.53,37.9910632,-122.3588568,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-34,ep,GM3,elevation profile,,,34.0,2188652.162,6026022.855,6.161,1.877876556,38.88,37.9910647,-122.3588301,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-35,ep,GM3,elevation profile,,,35.0,2188652.827,6026029.437,6.157,1.876657353,40.89,37.9910669,-122.3588073,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-36,ep,GM3,elevation profile,,,36.0,2188652.817,6026036.521,6.301,1.920548641,43.05,37.9910673,-122.3587828,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-3-ep-37,ep,GM3,elevation profile,,,37.0,2188653.066,6026039.016,6.36,1.938531877,43.82,37.9910681,-122.3587741,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-1,ep,GM4,elevation profile,,,1.0,2188545.383,6025895.967,3.723,1.13477267,-5.41,37.9907646,-122.359263,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-2,ep,GM4,elevation profile,,,2.0,2188545.741,6025899.976,4.023,1.226212852,-4.18,37.9907658,-122.3592491,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-3,ep,GM4,elevation profile,,,3.0,2188545.906,6025903.962,4.496,1.370383541,-2.96,37.9907665,-122.3592353,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-4,ep,GM4,elevation profile,,,4.0,2188545.898,6025905.291,4.553,1.387757176,-2.56,37.9907665,-122.3592307,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-5,ep,GM4,elevation profile,,,5.0,2188545.977,6025905.76,4.668,1.422809246,-2.41,37.9907668,-122.3592291,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-6,ep,GM4,elevation profile,,,6.0,2188546.153,6025906.739,5.61,1.70993142,-2.11,37.9907673,-122.3592257,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-7,ep,GM4,elevation profile,,,7.0,2188546.099,6025907.237,5.778,1.761137922,-1.96,37.9907672,-122.3592239,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-8,ep,GM4,elevation profile,,,8.0,2188546.154,6025907.689,6.274,1.912319025,-1.82,37.9907674,-122.3592224,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-9,ep,GM4,elevation profile,,,9.0,2188545.994,6025908.632,6.436,1.961696723,-1.53,37.990767,-122.3592191,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-10,ep,GM4,elevation profile,,,10.0,2188545.615,6025909.572,6.687,2.038201676,-1.22,37.990766,-122.3592158,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-11,ep,GM4,elevation profile,,,11.0,2188545.629,6025910.041,6.866,2.092760986,-1.07,37.9907661,-122.3592142,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-12pin,ep,GM4,elevation profile,,,12.0,2188548.486,6025912.106,6.703,2.043078486,0.0,37.990774,-122.3592072,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-13,ep,GM4,elevation profile,,,13.0,2188546.451,6025916.789,6.745,2.055880112,1.56,37.9907687,-122.3591908,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-14,ep,GM4,elevation profile,,,14.0,2188546.954,6025922.546,6.627,2.01991364,3.32,37.9907704,-122.3591709,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-15,ep,GM4,elevation profile,,,15.0,2188547.813,6025929.039,6.461,1.969316739,5.31,37.9907731,-122.3591484,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-16,ep,GM4,elevation profile,,,16.0,2188548.476,6025936.012,6.366,1.940360681,7.45,37.9907753,-122.3591243,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-17,ep,GM4,elevation profile,,,17.0,2188548.216,6025943.974,6.273,1.912014224,9.88,37.990775,-122.3590966,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-18,ep,GM4,elevation profile,,,18.0,2188548.159,6025950.062,6.383,1.945542291,11.73,37.9907752,-122.3590755,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-19,ep,GM4,elevation profile,,,19.0,2188547.525,6025958.11,6.375,1.943103886,14.19,37.9907739,-122.3590475,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-20,ep,GM4,elevation profile,,,20.0,2188546.953,6025967.439,6.327,1.928473457,17.04,37.9907728,-122.3590151,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-21,ep,GM4,elevation profile,,,21.0,2188546.218,6025975.242,6.396,1.949504699,19.43,37.9907712,-122.358988,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-22,ep,GM4,elevation profile,,,22.0,2188544.989,6025983.433,6.373,1.942494285,21.96,37.9907683,-122.3589595,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-23,ep,GM4,elevation profile,,,23.0,2188543.515,6025993.909,6.364,1.939751079,25.18,37.9907648,-122.3589231,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-24,ep,GM4,elevation profile,,,24.0,2188542.547,6026003.781,6.343,1.933350267,28.2,37.9907627,-122.3588887,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-25,ep,GM4,elevation profile,,,25.0,2188541.58,6026012.418,6.272,1.911709423,30.85,37.9907605,-122.3588587,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-26,ep,GM4,elevation profile,,,26.0,2188541.007,6026021.006,6.389,1.947371095,33.48,37.9907594,-122.3588289,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-4-ep-27,ep,GM4,elevation profile,,,27.0,2188540.825,6026029.731,6.193,1.887630175,36.14,37.9907594,-122.3587986,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-1,ep,GM5,elevation profile,,,1.0,2188369.511,6025869.868,2.747,0.837287275,-6.42,37.9902803,-122.3593414,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-2,ep,GM5,elevation profile,,,2.0,2188368.218,6025873.549,2.862,0.872339345,-5.23,37.990277,-122.3593285,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-3,ep,GM5,elevation profile,,,3.0,2188367.152,6025876.816,3.088,0.941224282,-4.18,37.9902742,-122.3593171,CA zone III (EPSG:2227)
