Location,FileName,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
San Pablo,san-pablo-final.csv,s2-tile-6c,tile,S2,tile,6,c,,1804113.929,6425223.615,5.976,1.821,5.44,38.1151572,-122.4742094,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-12a,tile,S2,tile,12,a,,1804133.686,6425222.405,6.215,1.894,11.47,38.1152114,-122.4742139,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-12b,tile,S2,tile,12,b,,1804133.715,6425221.968,6.206,1.892,11.49,38.1152115,-122.4742154,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-12c,tile,S2,tile,12,c,,1804133.626,6425221.514,6.205,1.891,11.48,38.1152112,-122.4742170,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-18a,tile,S2,tile,18,a,,1804153.103,6425220.409,6.450,1.966,17.41,38.1152647,-122.4742212,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-18b,tile,S2,tile,18,b,,1804153.311,6425219.785,6.494,1.979,17.50,38.1152653,-122.4742234,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-18c,tile,S2,tile,18,c,,1804153.409,6425219.325,6.462,1.970,17.54,38.1152655,-122.4742250,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-24a,tile,S2,tile,24,a,,1804173.029,6425218.49,6.614,2.016,23.52,38.1153194,-122.4742282,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-24b,tile,S2,tile,24,b,,1804173.281,6425217.988,6.579,2.005,23.61,38.1153201,-122.4742300,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-24c,tile,S2,tile,24,c,,1804173.145,6425217.602,6.619,2.017,23.58,38.1153197,-122.4742313,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tiles-48a,tile,S2,tile,48,a,,1804250.99,6425210.001,6.506,1.983,47.42,38.1155333,-122.4742592,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tiles-48b,tile,S2,tile,48,b,,1804251.004,6425209.613,6.568,2.002,47.44,38.1155334,-122.4742605,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tiles-48c,tile,S2,tile,48,c,,1804251.082,6425209.158,6.534,1.992,47.47,38.1155336,-122.4742621,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-0.5a,green,S1,green,0.5,a,,1804107.978,6425342.092,5.772,1.759,0.04,38.1151425,-122.4737975,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-0.5b,green,S1,green,0.5,b,,1804107.937,6425341.336,5.751,1.753,0.02,38.1151424,-122.4738001,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-0.5c,green,S1,green,0.5,c,,1804108.007,6425340.63,5.752,1.753,0.04,38.1151426,-122.4738026,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-2a,green,S1,green,2,a,,1804113.151,6425340.418,5.834,1.778,1.60,38.1151567,-122.4738034,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-2b,green,S1,green,2,b,,1804113.162,6425339.682,5.899,1.798,1.60,38.1151567,-122.4738060,CA zone II (EPSG:2226)
