Official_ID,Transect ID,Point_ID,Northing,Easting,Elevation_ussft,Elevation_m
,B,XSB-27,1804103.29,6425220.103,5.93,1.807467615
,B,XSB-28,1804102.775,6425220.888,5.847,1.782169164
,B,XSB-29,1804102.206,6425221.105,5.405,1.647447295
,B,XSB-30,1804101.081,6425221.572,5.374,1.637998476
,B,XSB-31,1804099.853,6425222.272,5.884,1.793446787
,B,XSB-32,1804097.319,6425224.45,5.854,1.784302769
,B,XSB-33pin,1804094.003,6425227.189,5.751,1.752908306
,B,XSB-34,1804088.006,6425227.208,5.691,1.734620269
,B,XSB-35,1804085.907,6425227.612,5.56,1.694691389
,B,XSB-36,1804085.111,6425227.187,5.223,1.591973584
,B,XSB-37,1804083.834,6425226.924,5.501,1.676708153
,B,XSB-38,1804077.877,6425227.997,5.221,1.591363983
,B,XSB-39,1804072.204,6425229.549,4.989,1.520650241
,B,XSB-40,1804065.332,6425231.101,4.656,1.419151638
,B,XSB-41,1804062.655,6425231.744,4.469,1.362153924
,B,XSB-42,1804059.331,6425231.917,4.213,1.284124968
,B,XSB-43,1804053.755,6425233.058,3.905,1.19024638
,B,XSB-44,1804048.946,6425233.552,3.612,1.100939802
,B,XSB-45,1804048.228,6425233.755,3.465,1.056134112
,B,XSB-46,1804044.353,6425234.789,3.269,0.996393193
,B,XSB-47,1804042.296,6425235.162,2.906,0.885750571
,B,XSB-48,1804041.196,6425235.338,2.775,0.845821692
,B,XSB-49,1804039.489,6425235.94,2.83,0.862585725
,B,XSB-50,1804037.646,6425235.893,2.632,0.802235204
,B,XSB-51,1804037.196,6425236.318,2.465,0.751333503
,B,XSB-52,1804035.542,6425236.571,2.363,0.72024384
,B,XSB-53,1804033.564,6425237.132,2.376,0.724206248
,C,XSC-1,1803997.663,6425111.293,2.389,0.728168656
,C,XSC-2,1804000.422,6425111.128,2.351,0.716586233
,C,XSC-3,1804002.409,6425111.208,2.423,0.738531877
,C,XSC-4,1804004.604,6425110.401,2.573,0.784251969
,C,XSC-5,1804008.222,6425109.616,2.622,0.799187198
,C,XSC-6,1804011.343,6425109.39,2.899,0.883616967
,C,XSC-7,1804013.743,6425108.784,2.977,0.907391415
,C,XSC-8,1804019.291,6425107.866,3.363,1.02504445
,C,XSC-9,1804022.98,6425106.707,3.509,1.069545339
,C,XSC-10,1804027.33,6425105.935,3.72,1.133858268
,C,XSC-11,1804031.382,6425104.957,3.878,1.182016764
,C,XSC-12,1804037.475,6425105.128,4.67,1.423418847
,C,XSC-13,1804043.029,6425105.299,4.832,1.472796546
,C,XSC-14,1804047.246,6425104.541,4.89,1.490474981
,C,XSC-15,1804053.963,6425104.197,5.338,1.627025654
,C,XSC-16,1804060.042,6425103.915,5.407,1.648056896
,C,XSC-17,1804065.306,6425103.167,5.523,1.683413767
,C,XSC-18pin,1804070.402,6425098.547,5.697,1.736449073
,C,XSC-19,1804074.347,6425099.207,5.754,1.753822708
,C,XSC-20,1804080.223,6425097.568,5.917,1.803505207
,C,XSC-21,1804087.323,6425096.487,6.07,1.8501397
,C,XSC-22,1804093.54,6425096.512,6.072,1.850749301
,C,XSC-23,1804103.09,6425097.15,6.322,1.926949454
,C,XSC-24,1804111.933,6425096.016,6.421,1.957124714
,C,XSC-25,1804119.52,6425096.437,6.322,1.926949454
,C,XSC-26,1804127.411,6425096.834,6.454,1.967183134
,C,XSC-27,1804142.822,6425097.157,6.471,1.972364745
,C,XSC-28,1804150.335,6425096.965,6.689,2.038811278
,C,XSC-29,1804154.704,6425096.691,6.708,2.044602489
,C,XSC-30,1804158.972,6425094.056,6.978,2.126898654
,C,XSC-31,1804161.165,6425092.14,6.769,2.063195326
,C,XSC-32,1804164.977,6425092.015,6.936,2.114097028
,C,XSC-33,1804168.96,6425090.53,6.9,2.103124206
,C,XSC-34,1804170.329,6425089.985,6.851,2.088188976
,C,XSC-35,1804171.88,6425089.821,6.79,2.069596139
,C,XSC-36,1804177.25,6425089.474,6.819,2.078435357
,C,XSC-37,1804183.154,6425088.875,6.665,2.031496063
,C,XSC-38,1804189.416,6425087.825,6.738,2.053746507
,C,XSC-39,1804195.336,6425087.338,6.801,2.072948946
,C,XSC-40,1804201.675,6425087.522,6.847,2.086969774
,C,XSC-41,1804204.739,6425085.597,6.728,2.050698501
,C,XSC-42,1804211.239,6425085.451,6.717,2.047345695
,C,XSC-43,1804215.225,6425085.953,6.673,2.033934468
,C,XSC-44,1804222.703,6425087.08,6.735,2.052832106
,C,XSC-45,1804227.291,6425087.701,6.635,2.022352045
,C,XSC-46,1804235.078,6425087.641,6.613,2.015646431
,C,XSC-47,1804243.517,6425088.104,6.597,2.010769622
,C,XSC-48,1804254.081,6425087.113,6.588,2.008026416
,C,XSC-49,1804262.644,6425088.841,6.773,2.064414529
,C,XSC-50,1804269.36,6425089.156,6.751,2.057708915
,C,XSC-51,1804278.915,6425089.941,6.706,2.043992888
,C,XSC-52,1804286.022,6425090.329,6.748,2.056794514
,C,XSC-53,1804293.258,6425089.907,6.666,2.031800864
,C,XSC-54,1804299.911,6425089.497,6.645,2.025400051
,C,XSC-55,1804306.623,6425087.592,6.76,2.060452121
,C,XSC-56,1804314.147,6425085.487,6.735,2.052832106
,C,XSC-57,1804319.399,6425085.821,6.653,2.027838456
,C,XSC-58,1804325.881,6425084.806,6.689,2.038811278
,C,XSC-59,1804330.567,6425083.542,6.823,2.079654559
,C,XSC-60,1804341.641,6425081.14,6.849,2.087579375
,C,XSC-61,1804353.706,6425079.203,6.665,2.031496063
,C,XSC-62,1804364.159,6425078.547,6.626,2.019608839
,C,XSC-63,1804375.414,6425078.829,6.75,2.057404115
,C,XSC-64,1804386.362,6425079.399,6.739,2.054051308
,C,XSC-65,1804395.812,6425078.667,6.642,2.024485649
,C,XSC-66,1804407.818,6425079.665,6.693,2.04003048
,C,XSC-67,1804418.224,6425078.755,6.737,2.053441707
,C,XSC-68,1804429.824,6425079.57,6.624,2.018999238
,C,XSC-69,1804437.642,6425081.965,6.729,2.051003302
,C,XSC-70,1804451.04,6425083.934,6.593,2.009550419
,C,XSC-71,1804464.153,6425085.968,6.75,2.057404115
,C,XSC-72,1804479.755,6425084.981,6.756,2.059232918
,C,XSC-73,1804491.63,6425088.031,6.946,2.117145034
BM2,BM Post,bm-post1,1813355.339,6428340.668,21.658,6.601371603
BM2,BM Post,bm-post2,1813355.343,6428340.685,21.621,6.59009398
BM2,BM Post,bm-post3,1813355.35,6428340.68,21.617,6.588874778
